,0,1
1684,1991,88
1685,462,87
1686,1342,87
1687,1955,87
1688,1140,86
1689,1689,86
1690,149,86
1691,868,86
1692,238,85
1693,1293,85
1694,1428,85
1695,562,85
1696,1260,85
1697,1113,85
1698,250,85
1699,916,85
1700,1490,85
1701,1525,85
1702,1306,85
1703,1501,85
1704,1255,85
1705,1143,85
1706,903,84
1707,1571,84
1708,1549,84
1709,1508,84
1710,2020,84
1711,1425,84
1712,88,84
1713,840,84
1714,247,83
1715,1162,83
1716,1972,83
1717,35,83
1718,1340,82
1719,819,82
1720,514,82
1721,1421,82
1722,1921,82
1723,1691,82
1724,214,82
1725,1142,82
1726,210,81
1727,633,81
1728,203,81
1729,184,81
1730,337,81
1731,1248,81
1732,628,81
1733,892,81
1734,196,81
1735,1827,81
1736,1265,80
1737,1600,80
1738,1872,80
1739,356,80
1740,1397,80
1741,168,80
1742,1076,80
1743,1628,80
1744,94,79
1745,1933,79
1746,670,79
1747,145,79
1748,202,79
1749,1548,79
1750,1868,79
1751,1434,79
1752,1908,79
1753,113,79
1754,1965,79
1755,560,79
1756,880,79
1757,1459,78
1758,295,78
1759,836,78
1760,68,78
1761,1659,78
1762,1156,78
1763,1526,78
1764,287,78
1765,157,78
1766,106,78
1767,2032,78
1768,811,78
1769,1734,77
1770,518,77
1771,1473,77
1772,325,77
1773,1402,77
1774,282,77
1775,1604,77
1776,1845,77
1777,738,77
1778,1671,77
1779,2003,76
1780,1961,76
1781,248,76
1782,293,76
1783,1468,76
1784,2019,75
1785,525,75
1786,1730,75
1787,76,75
1788,1558,75
1789,281,75
1790,1722,75
1791,1650,75
1792,1682,75
1793,1834,74
1794,688,74
1795,154,74
1796,1415,74
1797,1817,74
1798,1744,74
1799,919,74
1800,374,74
1801,1559,74
1802,286,74
1803,1577,74
1804,1224,73
1805,687,73
1806,1572,73
1807,78,73
1808,1277,73
1809,2001,73
1810,382,73
1811,632,73
1812,818,72
1813,1844,72
1814,640,72
1815,1475,72
1816,1582,72
1817,1020,72
1818,1407,72
1819,1968,72
1820,208,72
1821,1916,72
1822,272,72
1823,49,72
1824,541,72
1825,482,72
1826,958,71
1827,384,71
1828,959,71
1829,911,71
1830,631,71
1831,674,71
1832,192,71
1833,1573,70
1834,55,70
1835,784,70
1836,1172,70
1837,563,70
1838,1484,70
1839,1840,70
1840,1859,70
1841,50,70
1842,600,70
1843,1006,70
1844,95,70
1845,452,69
1846,872,69
1847,103,69
1848,599,69
1849,138,69
1850,1853,69
1851,530,69
1852,749,69
1853,1121,68
1854,1811,68
1855,776,68
1856,685,68
1857,1608,68
1858,347,67
1859,608,67
1860,798,67
1861,1388,67
1862,1243,67
1863,1372,67
1864,1992,67
1865,931,67
1866,1316,67
1867,1311,67
1868,618,66
1869,1592,66
1870,963,66
1871,170,66
1872,554,65
1873,236,65
1874,89,65
1875,1496,65
1876,1758,65
1877,1077,65
1878,654,65
1879,1810,64
1880,2008,64
1881,296,64
1882,782,64
1883,717,64
1884,1997,64
1885,1210,64
1886,873,64
1887,194,64
1888,1418,64
1889,650,64
1890,619,63
1891,1444,63
1892,1930,63
1893,1292,63
1894,676,63
1895,523,63
1896,1362,63
1897,1924,62
1898,1320,62
1899,1144,62
1900,921,62
1901,1773,62
1902,1377,62
1903,1262,62
1904,1449,61
1905,1446,61
1906,597,61
1907,1683,61
1908,769,61
1909,905,60
1910,373,60
1911,1012,60
1912,1713,60
1913,505,60
1914,711,59
1915,1800,59
1916,751,59
1917,212,59
1918,658,58
1919,1119,58
1920,1506,57
1921,1633,57
1922,971,57
1923,209,57
1924,665,57
1925,302,57
1926,1240,57
1927,1885,56
1928,1623,56
1929,1398,56
1930,884,56
1931,398,56
1932,657,56
1933,273,55
1934,2024,55
1935,625,55
1936,1599,55
1937,1093,54
1938,96,54
1939,651,54
1940,1381,54
1941,1679,53
1942,490,53
1943,941,53
1944,456,53
1945,1937,53
1946,1583,53
1947,1448,53
1948,1447,53
1949,860,53
1950,191,53
1951,1919,52
1952,974,52
1953,556,52
1954,634,52
1955,352,51
1956,867,51
1957,424,51
1958,935,51
1959,1005,51
1960,213,51
1961,218,50
1962,1239,50
1963,108,50
1964,1097,50
1965,1655,50
1966,1115,50
1967,1062,50
1968,1855,49
1969,1966,49
1970,1521,49
1971,163,49
1972,2000,49
1973,42,49
1974,176,49
1975,589,49
1976,1040,49
1977,756,48
1978,582,48
1979,2031,48
1980,1892,48
1981,306,47
1982,451,47
1983,506,47
1984,973,47
1985,492,47
