Molecule ID,AB,,AC,,AD,,AE,
,Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1)
2028,2029,59897,2029,3798,2029,3816,2029,486
1089,1090,59752,1090,1280,1090,1280,1090,164
758,759,59541,759,4473,759,4522,759,553
487,488,59541,488,1920,488,1920,488,249
997,998,59340,998,4960,998,4936,998,592
1253,1254,59220,1254,1854,1254,1902,1254,246
342,343,59220,343,1857,343,1881,343,234
1119,1120,59160,1120,3185,1120,3210,1120,415
2034,2035,59096,2035,1268,2035,1252,2035,162
1631,1632,59059,1632,1248,1632,1256,1632,144
275,276,59048,276,2560,276,2568,276,312
1449,1450,59048,1450,3185,1450,3165,1450,370
1150,1151,59040,1151,2512,1151,2536,1151,308
1835,1836,58968,1836,4270,1836,4193,1836,546
1947,1948,58877,1948,1266,1948,1274,1948,162
1273,1274,58860,1274,3720,1274,3618,1274,486
307,308,58696,308,1252,308,1268,308,156
531,532,58680,532,1262,532,1280,532,164
641,642,58651,642,3090,642,3160,642,400
947,948,58520,948,3120,948,3110,948,410
1841,1842,58520,1842,1935,1842,1941,1842,246
969,970,58473,970,1893,970,1938,970,234
402,403,58464,403,3180,403,3130,403,415
1374,1375,58168,1375,1248,1375,1252,1375,156
1546,1547,58116,1547,1905,1547,1911,1547,243
1785,1786,58050,1786,1908,1786,1845,1786,249
1368,1369,58029,1369,3870,1369,3912,1369,492
488,489,57992,489,1884,489,1881,489,240
284,285,57939,285,2536,285,2540,285,320
1358,1359,57904,1359,2568,1359,2528,1359,316
747,748,57816,748,3075,748,3075,748,400
1874,1875,57800,1875,3185,1875,3165,1875,405
1071,1072,57672,1072,2512,1072,2496,1072,300
742,743,57405,743,1887,743,1890,743,228
773,774,57288,774,4368,774,4417,774,567
682,683,57120,683,1929,683,1911,683,246
556,557,57036,557,3205,557,3215,557,405
166,167,56950,167,3816,167,3852,167,462
594,595,56938,595,2560,595,2588,595,332
470,471,56936,471,1278,471,1274,471,134
527,528,56780,528,2528,528,2512,528,320
21,22,56700,22,3190,22,3165,22,410
738,739,56700,739,1288,739,1272,739,156
875,876,56695,876,1268,876,1280,876,164
1559,1560,56674,1560,2516,1560,2540,1560,280
1587,1588,56588,1588,1884,1588,1905,1588,228
511,512,56448,512,3822,512,3864,512,498
1803,1804,56158,1804,3145,1804,3190,1804,400
1720,1721,56028,1721,1863,1721,1869,1721,210
704,705,56028,705,1905,705,1911,705,234
995,996,56025,996,1284,996,1292,996,152
387,388,56015,388,3125,388,3105,388,405
983,984,56015,984,644,984,641,984,82
1959,1960,56015,1960,1917,1960,1902,1960,246
1014,1015,55900,1015,1890,1015,1884,1015,234
16,17,55860,17,1218,17,1272,17,166
1383,1384,55842,1384,3240,1384,3235,1384,405
864,865,55760,865,1938,865,1950,865,240
1556,1557,55693,1557,1272,1557,1266,1557,164
1868,1869,55678,1869,2576,1869,2572,1869,332
1274,1275,55642,1275,1866,1275,1917,1275,237
570,571,55514,571,637,571,639,571,77
6,7,55432,7,1944,7,1947,7,237
1058,1059,55361,1059,3145,1059,3185,1059,350
961,962,55278,962,3160,962,3110,962,415
1613,1614,55278,1614,3140,1614,3120,1614,380
971,972,55126,972,602,972,622,972,80
1906,1907,55080,1907,1890,1907,1911,1907,246
705,706,54936,706,2548,706,2548,706,312
536,537,54858,537,625,537,630,537,82
1256,1257,54837,1257,2564,1257,2540,1257,316
85,86,54837,86,1902,86,1911,86,246
667,668,54684,668,1851,668,1899,668,234
337,338,54600,338,4277,338,4361,338,476
1933,1934,54594,1934,1296,1934,1294,1934,166
1042,1043,54560,1043,1280,1043,1284,1043,166
647,648,54432,648,1260,648,1260,648,166
203,204,54240,204,3822,204,3786,204,492
1640,1641,54145,1641,3065,1641,3065,1641,380
2024,2025,54000,2025,2556,2025,2592,2025,328
909,910,53920,910,636,910,642,910,81
575,576,53710,576,1228,576,1232,576,158
344,345,53703,345,0,345,0,345,0
1020,1021,53664,1021,651,1021,653,1021,81
1344,1345,53483,1345,1252,1345,1268,1345,166
1856,1857,53379,1857,1264,1857,1290,1857,164
71,72,53167,72,1917,72,1917,72,246
796,797,53120,797,3185,797,3175,797,355
78,79,53118,79,4438,79,4431,79,567
1995,1996,53053,1996,2596,1996,2608,1996,332
1663,1664,53040,1664,2488,1664,2512,1664,316
1583,1584,52880,1584,2825,1584,3100,1584,390
1544,1545,52812,1545,1911,1545,1935,1545,249
1675,1676,52800,1676,1272,1676,1288,1676,140
194,195,52650,195,1914,195,1887,195,243
2008,2009,52456,2009,1902,2009,1899,2009,249
746,747,52400,747,3155,747,3130,747,400
276,277,52338,277,3195,277,3210,277,410
1695,1696,52320,1696,643,1696,646,1696,78
61,62,52288,62,0,62,0,62,0
729,730,52104,730,2560,730,2584,730,324
1022,1023,52052,1023,2544,1023,2556,1023,328
379,380,52000,380,1887,380,1908,380,240
1178,1179,51975,1179,1282,1179,1288,1179,166
1335,1336,51903,1336,0,1336,0,1336,0
723,724,51898,724,1911,724,1902,724,249
45,46,51821,46,2516,46,2524,46,332
557,558,51756,558,1917,558,1932,558,249
815,816,51744,816,3195,816,3200,816,410
1366,1367,51744,1367,1863,1367,1938,1367,249
1974,1975,51714,1975,2572,1975,2576,1975,316
1040,1041,51590,1041,1908,1041,1890,1041,243
1176,1177,51587,1177,2528,1177,2552,1177,300
1384,1385,51587,1385,3828,1385,3840,1385,426
1359,1360,51376,1360,623,1360,643,1360,82
948,949,51282,949,3810,949,3792,949,480
1077,1078,51225,1078,0,1078,0,1078,0
1782,1783,51075,1783,1300,1783,1310,1783,160
173,174,50996,174,1280,174,1292,174,164
1521,1522,50974,1522,2508,1522,2544,1522,332
886,887,50920,887,3225,887,3220,887,410
1903,1904,50897,1904,2448,1904,2556,1904,324
